Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Accel. Position (%),Boost (PSI),Calculated Load (g/rev),Coolant Temp (° F),Dyn. Adv. Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Ignition Timing (°),Inj. Duty Cycle (%),Intake Temp (° F),MAF (g/s),MAF Volt. (V),RPM (RPM),TD Boost Error (PSI),TGV Map Ratio (mult),Target Boost (PSI),Throttle Pos. (%),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.3.0-14227][2017 USDM WRX STI COBB Custom Features][Reflash: Stage1 93 v342 Boost Select.ptm - Realtime: Stage1 93 v342 Boost Select.ptm]
0.000,0.00,-3.12,14.47,0.0,-9.48,0.30,160,1.000,0.00,0.00,12.50,1.49,86,3.79,1.30,776,6.10,0.000,-3.85,4,0.00,0
0.115,0.00,-3.12,14.47,0.0,-9.50,0.30,160,1.000,0.00,0.00,12.50,1.50,86,3.79,1.28,780,6.11,0.000,-3.85,3,0.00,0
0.235,0.00,-3.12,14.47,0.0,-9.48,0.30,160,1.000,0.00,0.00,13.00,1.48,86,3.82,1.26,770,6.10,0.000,-3.85,4,0.00,0
0.315,0.00,-3.12,14.59,0.0,-9.50,0.30,160,1.000,0.00,0.00,13.00,1.48,86,3.84,1.28,771,6.10,0.000,-3.85,3,0.00,0
0.415,0.00,-3.12,14.59,0.0,-9.48,0.30,160,1.000,0.00,0.00,12.50,1.49,86,3.87,1.30,777,6.10,0.000,-3.85,3,0.00,0
0.536,0.00,-3.12,14.59,0.0,-9.48,0.30,160,1.000,0.00,0.00,12.50,1.48,86,3.82,1.28,772,6.10,0.000,-3.85,4,0.00,0
0.627,0.00,-3.12,14.59,0.0,-9.48,0.30,160,1.000,0.00,0.00,13.00,1.48,86,3.82,1.26,782,6.10,0.000,-3.85,4,0.00,0
0.745,0.00,-3.12,14.59,0.0,-9.48,0.30,160,1.000,0.00,0.00,12.50,1.50,86,3.87,1.28,780,6.09,0.000,-3.85,4,0.00,0
0.833,0.00,-3.12,14.59,0.0,-9.46,0.31,160,1.000,0.00,0.00,13.50,1.47,86,3.87,1.30,766,6.08,0.000,-3.85,4,0.00,0
0.945,0.00,-3.12,14.59,0.0,-9.46,0.31,160,1.000,0.00,0.00,13.50,1.50,86,3.89,1.28,780,6.08,0.000,-3.85,4,0.00,0
1.049,0.00,-3.12,14.59,0.0,-9.45,0.31,160,1.000,0.00,0.00,12.50,1.50,86,3.84,1.26,772,6.05,0.000,-3.85,4,0.00,0
1.153,0.00,-3.12,14.59,0.0,-9.45,0.31,160,1.000,0.00,0.00,13.00,1.49,86,3.89,1.28,774,6.07,0.000,-3.85,4,0.00,0
1.258,0.00,-3.12,14.59,0.0,-9.45,0.31,160,1.000,0.00,0.00,12.50,1.49,86,3.87,1.30,778,6.05,0.000,-3.85,4,0.00,0
1.370,0.00,-3.12,14.59,0.0,-9.43,0.31,160,1.000,0.00,0.00,12.00,1.50,86,3.87,1.30,780,6.05,0.000,-3.85,4,0.00,0
1.474,0.00,-3.12,14.59,0.0,-9.45,0.31,160,1.000,0.00,0.00,12.50,1.50,86,3.84,1.28,786,6.08,0.000,-3.85,4,0.00,0
1.585,0.00,-3.12,14.59,0.0,-9.46,0.31,160,1.000,0.00,0.00,12.00,1.51,86,3.87,1.28,786,6.08,0.000,-3.85,4,0.00,0
1.686,0.00,-3.12,14.59,0.0,-9.46,0.31,160,1.000,0.00,0.00,12.50,1.49,86,3.92,1.30,776,6.08,0.000,-3.85,4,0.00,0
1.797,0.00,-3.12,14.59,0.0,-9.46,0.31,160,1.000,0.00,0.00,12.50,1.50,86,3.92,1.30,783,6.08,0.000,-3.85,4,0.00,0
1.901,0.00,-3.12,14.59,0.0,-9.45,0.31,160,1.000,0.00,0.00,12.50,1.50,86,3.92,1.28,780,6.05,0.000,-3.85,4,0.00,0
2.007,0.78,-3.12,14.59,0.0,-9.45,0.31,160,1.000,0.00,0.00,12.50,1.49,86,3.87,1.26,778,6.05,0.000,-3.85,4,0.00,0
2.122,0.78,-3.12,14.59,0.0,-9.43,0.31,160,1.000,0.00,0.00,11.50,1.52,86,3.89,1.28,793,6.05,0.000,-3.85,4,0.00,0
2.222,0.78,-3.12,14.59,0.0,-9.46,0.31,160,1.000,0.00,0.00,12.00,1.52,86,3.89,1.30,791,6.08,0.000,-3.85,4,0.00,0
2.325,0.78,-3.12,14.59,0.0,-9.47,0.31,160,1.000,0.00,0.00,12.50,1.52,86,3.89,1.30,793,6.09,0.000,-3.85,4,0.00,0
2.437,0.78,-3.12,14.59,0.0,-9.47,0.31,160,1.000,0.00,0.00,12.00,1.52,86,3.89,1.28,784,6.09,0.000,-3.85,4,0.00,0
2.541,0.78,-3.12,14.59,0.0,-9.48,0.31,160,1.000,0.00,0.00,12.50,1.51,86,3.89,1.26,784,6.10,0.000,-3.85,4,0.00,0
2.646,0.78,-3.12,14.59,0.0,-9.48,0.31,160,1.000,0.00,0.00,12.50,1.50,86,3.87,1.28,783,6.10,0.000,-3.85,4,0.00,0
2.757,0.78,-3.12,14.59,0.0,-9.48,0.31,160,1.000,0.00,0.00,13.00,1.49,86,3.87,1.30,774,6.09,0.000,-3.85,4,0.00,0
2.863,0.78,-3.12,14.59,0.0,-9.46,0.31,160,1.000,0.00,0.00,13.00,1.50,86,3.92,1.30,782,6.08,0.000,-3.85,4,0.00,0
2.973,0.78,-3.12,14.59,0.0,-9.46,0.31,160,1.000,0.00,0.00,12.50,1.50,86,3.89,1.28,773,6.08,0.000,-3.85,4,0.00,0
3.075,0.78,-3.12,14.59,0.0,-9.45,0.31,160,1.000,0.00,0.00,13.00,1.48,86,3.89,1.28,773,6.07,0.000,-3.85,4,0.00,0
3.177,0.78,-3.12,14.59,0.0,-9.45,0.31,160,1.000,0.00,0.00,12.00,1.51,86,3.87,1.30,786,6.08,0.000,-3.85,4,0.00,0
3.291,0.78,-3.12,14.59,0.0,-9.46,0.31,160,1.000,0.00,0.00,12.50,1.49,86,3.87,1.30,774,6.08,0.000,-3.85,4,0.00,0
3.399,0.78,-3.12,14.59,0.0,-9.46,0.31,160,1.000,0.00,0.00,13.00,1.48,86,3.87,1.28,784,6.07,0.000,-3.85,4,0.00,0
3.500,0.78,-3.12,14.59,0.0,-9.45,0.31,160,1.000,0.00,0.00,12.00,1.51,86,3.92,1.28,784,6.07,0.000,-3.85,4,0.00,0
3.605,0.78,-3.12,14.59,0.0,-9.43,0.31,160,1.000,0.00,0.00,12.50,1.49,86,3.92,1.30,776,6.07,0.000,-3.85,4,0.00,0
3.716,0.78,-3.12,14.59,0.0,-9.45,0.31,160,1.000,0.00,0.00,13.50,1.52,86,3.84,1.30,791,6.05,0.000,-3.85,4,0.00,0
3.819,0.78,-3.12,14.59,0.0,-9.45,0.31,160,1.000,0.00,0.00,12.50,1.50,86,4.48,1.36,766,6.04,0.000,-3.85,4,0.00,0
3.924,0.78,-3.12,14.59,0.0,-9.23,0.33,160,1.000,0.00,0.00,13.50,1.63,86,4.92,1.38,763,5.68,0.000,-3.85,4,0.00,0
4.038,0.78,-3.12,14.59,0.0,-8.97,0.35,160,1.000,0.00,0.00,17.00,1.59,86,5.02,1.40,746,5.59,0.000,-3.85,4,0.00,0
4.143,0.78,-3.12,14.70,0.0,-8.80,0.37,160,1.000,0.00,0.00,14.50,1.58,86,4.99,1.38,739,5.37,0.000,-3.85,4,0.00,0
4.244,0.78,-3.12,14.70,0.0,-8.62,0.39,160,1.000,0.00,0.00,16.50,1.56,86,5.05,1.38,733,5.18,0.000,-3.85,4,0.00,0
4.358,0.78,-3.12,14.81,0.0,-8.46,0.40,160,1.000,0.00,0.00,16.00,1.57,86,5.05,1.40,734,5.08,0.000,-3.85,4,0.00,0
4.459,1.56,-3.12,15.04,0.0,-8.38,0.40,160,1.000,0.00,0.00,15.00,1.75,86,4.86,1.36,739,4.97,0.000,-3.85,4,0.00,0
4.573,1.56,-3.12,15.16,0.0,-8.33,0.40,160,1.000,0.00,0.00,14.00,1.78,86,4.80,1.38,759,4.94,0.000,-3.85,4,0.00,0
4.677,2.34,-3.12,15.16,0.0,-8.32,0.40,160,1.000,0.00,0.00,12.00,1.84,86,4.86,1.38,785,4.94,0.000,-3.85,4,0.00,0
4.781,2.34,-3.12,15.16,0.0,-8.35,0.40,160,1.000,0.00,0.00,11.00,1.87,86,4.84,1.38,795,5.00,0.000,-3.85,4,0.00,0
4.887,3.12,-3.12,15.16,0.0,-8.43,0.39,160,1.000,0.00,0.00,11.00,1.74,86,4.86,1.36,815,5.04,0.000,-3.87,4,0.00,0
4.994,3.12,-3.12,14.93,0.0,-8.49,0.39,160,1.000,0.00,0.00,10.50,1.74,86,4.92,1.36,816,5.09,0.000,-3.89,4,0.00,0
5.105,3.12,-3.12,14.81,0.0,-8.55,0.38,160,1.000,0.00,0.00,10.50,1.76,86,4.86,1.36,835,5.13,0.000,-3.89,4,0.00,0
5.212,3.12,-3.12,14.70,0.0,-8.60,0.38,160,1.000,0.00,0.00,10.50,1.77,86,4.92,1.36,819,5.20,0.000,-3.93,4,0.00,0
5.312,3.12,-3.12,14.70,0.0,-8.63,0.38,160,1.000,0.00,0.00,11.00,1.74,86,4.99,1.38,817,5.18,0.000,-3.89,4,0.00,0
