Time (sec),A/F Sens 1 Ratio (AFR),Boost (PSI),Calculated Load (g/rev),Feedback Knock (°),Fine Knock Learn (°),Gear Position (Gear),Ignition Timing (°),MAF (g/s),Primary Ign. (°),RPM (RPM),TD Burst (%),TD Continuous (%),Target Boost (PSI),Throttle Pos. (%),Wastegate Duty (%),Wastegate Max (%),AP Info:[AP3-SUB-001 v1.7.2.0-11034][USDM 2004 Impreza WRX][Reflash: EXPERIMENTAL-TP-cobb2.ptm - Realtime: EXPERIMENTAL-TP-cobb2.ptm]
0.000,14.59,-8.82,0.39,0.00,0.00,1,7.00,9.19,11.99,1414,0.00,5.00,-5.34,0,0.00,0.00,0
0.003,14.59,-8.80,0.39,0.00,0.00,1,6.00,9.28,11.99,1436,0.00,5.00,-5.34,0,0.00,0.00,0
0.016,14.47,-8.84,0.39,0.00,0.00,1,7.00,9.19,11.99,1425,0.00,5.00,-5.34,0,0.00,0.00,0
0.018,14.47,-8.84,0.39,0.00,0.00,1,8.00,9.32,11.99,1416,0.00,5.00,-5.34,0,0.00,0.00,0
0.019,14.59,-8.84,0.39,0.00,0.00,1,7.00,9.19,11.99,1425,0.00,5.00,-5.34,0,0.00,0.00,0
0.021,14.47,-8.84,0.39,0.00,0.00,1,8.00,9.19,11.99,1416,0.00,5.00,-5.34,0,0.00,0.00,0
0.084,14.47,-8.86,0.39,0.00,0.00,1,7.00,9.19,11.99,1424,0.00,5.00,-5.34,0,0.00,0.00,0
0.150,14.59,-8.86,0.39,0.00,0.00,1,9.50,9.10,11.99,1403,0.00,5.00,-5.34,0,0.00,0.00,0
0.222,14.59,-8.86,0.39,0.00,0.00,1,7.50,9.23,11.99,1409,0.00,5.00,-5.34,0,0.00,0.00,0
0.292,14.70,-8.84,0.39,0.00,0.00,1,8.00,9.28,11.99,1412,0.00,5.00,-5.34,0,0.00,0.00,0
0.372,14.70,-8.84,0.39,0.00,0.00,1,8.00,9.05,11.99,1406,0.00,5.00,-5.34,0,0.00,0.00,0
0.436,14.70,-8.80,0.39,0.00,0.00,1,7.00,9.28,11.99,1416,0.00,5.00,-5.34,0,0.00,0.00,0
0.512,14.70,-8.78,0.39,0.00,0.00,1,8.00,9.42,11.99,1415,0.00,5.00,-5.34,0,0.00,0.00,0
