Time (sec),AF Sens 1 Ratio (AFR),Boost (PSI),Calculated Load (g/rev),Feedback Knock (°),Fine Knock Learn (°),Gear Position (Gear),Ignition Timing (°),MAF (g/s),Primary Ign. (°),RPM (RPM),TD Burst (%),TD Continuous (%),Target Boost (PSI),Throttle Pos. (%),Wastegate Duty (%),Wastegate Max (%),AP Info:[AP3-SUB-001 v1.7.3.0-12522][2004 USDM Impreza WRX][Reflash: EXPERIMENTAL-TP-cobb2.ptm - Realtime: EXPERIMENTAL-TP-cobb2.ptm]
0.000,14.59,-9.22,0.35,0.00,0.00,1,13.00,7.94,11.99,1366,0.00,5.00,-5.34,0,0.00,0.00,0
0.073,14.59,-9.20,0.34,0.00,0.00,1,11.50,7.81,11.99,1381,0.00,5.00,-5.34,0,0.00,0.00,0
0.116,14.59,-9.20,0.35,0.00,0.00,6,14.00,7.94,11.99,1356,0.00,5.00,-5.34,0,0.00,0.00,0
0.187,14.59,-9.18,0.35,0.00,0.00,1,11.50,7.98,11.99,1375,0.00,5.00,-5.34,0,0.00,0.00,0
0.261,14.59,-9.17,0.35,0.00,0.00,1,13.00,8.02,11.99,1364,0.00,5.00,-5.34,0,0.00,0.00,0
0.343,14.70,-9.17,0.35,0.00,0.00,1,11.50,8.02,11.99,1368,0.00,5.00,-5.34,0,0.00,0.00,0
0.405,14.70,-9.17,0.35,0.00,0.00,1,11.50,7.94,11.99,1376,0.00,5.00,-5.34,0,0.00,0.00,0
0.483,14.70,-9.17,0.35,0.00,0.00,1,12.00,7.57,11.99,1369,0.00,5.00,-5.34,0,0.00,0.00,0
0.551,14.59,-9.17,0.34,0.00,0.00,1,11.00,7.86,11.99,1379,0.00,5.00,-5.34,0,0.00,0.00,0
0.625,14.59,-9.17,0.35,0.00,0.00,1,12.00,7.94,11.99,1368,0.00,5.00,-5.34,0,0.00,0.00,0
0.698,14.59,-9.20,0.35,0.00,0.00,1,10.50,7.94,11.99,1385,0.00,5.00,-5.34,0,0.00,0.00,0
0.771,14.59,-9.18,0.35,0.00,0.00,1,12.00,7.98,11.99,1370,0.00,5.00,-5.34,0,0.00,0.00,0
0.841,14.59,-9.20,0.35,0.00,0.00,1,11.00,7.98,11.99,1380,0.00,5.00,-5.34,0,0.00,0.00,0
0.926,14.59,-9.18,0.35,0.00,0.00,1,12.50,7.90,11.99,1389,0.00,5.00,-5.34,0,0.00,0.00,0
0.987,14.59,-9.20,0.35,0.00,0.00,1,10.00,7.94,11.99,1376,0.00,5.00,-5.34,0,0.00,0.00,0
1.074,14.70,-9.22,0.34,0.00,0.00,1,11.00,7.86,11.99,1380,0.00,5.00,-5.34,0,0.00,0.00,0
1.132,14.59,-9.22,0.34,0.00,0.00,1,12.50,7.86,11.99,1368,0.00,5.00,-5.34,0,0.00,0.00,0
1.204,14.59,-9.22,0.34,0.00,0.00,1,11.50,7.90,11.99,1379,0.00,5.00,-5.34,0,0.00,0.00,0
1.282,14.59,-9.22,0.34,0.00,0.00,1,12.00,7.81,11.99,1371,0.00,5.00,-5.34,0,0.00,0.00,0
1.360,14.59,-9.22,0.34,0.00,0.00,1,12.00,7.69,11.99,1372,0.00,5.00,-5.34,0,0.00,0.00,0
1.423,14.59,-9.22,0.34,0.00,0.00,1,13.00,7.86,11.99,1363,0.00,5.00,-5.34,0,0.00,0.00,0
1.497,14.59,-9.22,0.34,0.00,0.00,1,11.00,7.86,11.99,1378,0.00,5.00,-5.34,0,0.00,0.00,0
1.581,14.59,-9.20,0.34,0.00,0.00,1,13.00,7.90,11.99,1370,0.00,5.00,-5.34,0,0.00,0.00,0
1.655,14.70,-9.17,0.35,0.00,0.00,1,11.50,7.94,11.99,1370,0.00,5.00,-5.34,0,0.00,0.00,0
1.719,14.70,-9.20,0.34,0.00,0.00,1,12.00,7.86,11.99,1367,0.00,5.00,-5.34,0,0.00,0.00,0
1.805,14.70,-9.18,0.35,0.00,0.00,1,14.00,7.86,11.99,1347,0.00,5.00,-5.34,0,0.00,0.00,0
1.863,14.70,-9.18,0.35,0.00,0.00,1,11.00,7.94,11.99,1374,0.00,5.00,-5.34,0,0.00,0.00,0
1.940,14.70,-9.17,0.35,0.00,0.00,1,11.50,7.94,11.99,1370,0.00,5.00,-5.34,0,0.00,0.00,0
2.026,14.70,-9.17,0.35,0.00,0.00,1,11.50,7.90,11.99,1368,0.00,5.00,-5.34,0,0.00,0.00,0
2.095,14.70,-9.17,0.35,0.00,0.00,1,13.50,7.86,11.99,1351,0.00,5.00,-5.34,0,0.00,0.00,0
2.154,14.70,-9.13,0.35,0.00,0.00,1,12.00,7.64,11.99,1363,0.00,5.00,-5.34,0,0.00,0.00,0
2.228,14.70,-9.13,0.35,0.00,0.00,1,13.00,8.07,11.99,1373,0.00,5.00,-5.34,0,0.00,0.00,0
2.311,14.70,-9.13,0.35,0.00,0.00,1,13.00,7.98,11.99,1354,0.00,5.00,-5.34,0,0.00,0.00,0
2.385,14.70,-9.15,0.35,0.00,0.00,1,11.00,8.02,11.99,1370,0.00,5.00,-5.34,0,0.00,0.00,0
2.448,14.70,-9.13,0.35,0.00,0.00,1,13.00,7.98,11.99,1351,0.00,5.00,-5.34,0,0.00,0.00,0
2.522,14.70,-9.13,0.35,0.00,0.00,1,12.00,8.07,11.99,1358,0.00,5.00,-5.34,0,0.00,0.00,0
2.600,14.70,-9.09,0.35,0.00,0.00,1,13.00,8.02,11.99,1352,0.00,5.00,-5.34,0,0.00,0.00,0
2.675,14.70,-9.07,0.35,0.00,0.00,1,12.00,8.07,11.99,1363,0.00,5.00,-5.34,0,0.00,0.00,0
2.745,14.81,-9.07,0.36,0.00,0.00,1,11.50,8.11,11.99,1354,0.00,5.00,-5.34,0,0.00,0.00,0
2.819,14.70,-9.07,0.36,0.00,0.00,1,12.00,8.19,11.99,1366,0.00,5.00,-5.34,0,0.00,0.00,0
2.886,14.81,-9.07,0.36,0.00,0.00,1,11.50,8.11,11.99,1360,0.00,5.00,-5.34,0,0.00,0.00,0
2.958,14.93,-9.07,0.36,0.00,0.00,1,10.50,8.11,11.99,1374,0.00,5.00,-5.34,0,0.00,0.00,0
3.036,14.81,-9.07,0.36,0.00,0.00,1,11.50,8.07,11.99,1362,0.00,5.00,-5.34,0,0.00,0.00,0
3.111,14.70,-9.07,0.36,0.00,0.00,1,10.00,8.11,11.99,1378,0.00,5.00,-5.34,0,0.00,0.00,0
3.178,14.81,-9.07,0.36,0.00,0.00,1,12.50,8.15,11.99,1356,0.00,5.00,-5.34,0,0.00,0.00,0
3.251,14.70,-9.07,0.36,0.00,0.00,1,10.50,8.24,11.99,1370,0.00,5.00,-5.34,0,0.00,0.00,0
3.335,14.70,-9.07,0.36,0.00,0.00,1,11.00,8.15,11.99,1369,0.00,5.00,-5.34,0,0.00,0.00,0
3.398,14.70,-9.07,0.36,0.00,0.00,1,10.50,8.11,11.99,1378,0.00,5.00,-5.34,0,0.00,0.00,0
3.481,14.70,-9.07,0.35,0.00,0.00,1,11.50,8.02,11.99,1382,0.00,5.00,-5.34,0,0.00,0.00,0
3.555,14.70,-9.13,0.35,0.00,0.00,1,11.50,8.07,11.99,1370,0.00,5.00,-5.34,0,0.00,0.00,0
3.619,14.59,-9.13,0.35,0.00,0.00,1,10.50,7.94,11.99,1378,0.00,5.00,-5.34,0,0.00,0.00,0
3.697,14.70,-9.13,0.35,0.00,0.00,1,11.50,7.94,11.99,1372,0.00,5.00,-5.34,0,0.00,0.00,0
3.765,14.59,-9.15,0.35,0.00,0.00,1,11.50,7.90,11.99,1373,0.00,5.00,-5.34,0,0.00,0.00,0
3.850,14.59,-9.15,0.35,0.00,0.00,1,11.50,8.02,11.99,1373,0.00,5.00,-5.34,0,0.00,0.00,0
