Time (sec),A/F Sens 1 Ratio (AFR),Boost (PSI),Calculated Load (g/rev),Feedback Knock (°),Fine Knock Learn (°),Gear Position (Gear),Ignition Timing (°),MAF (g/s),Primary Ign. (°),RPM (RPM),TD Burst (%),TD Continuous (%),Target Boost (PSI),Throttle Pos. (%),Wastegate Duty (%),Wastegate Max (%),AP Info:[AP3-SUB-001 v1.7.2.0-11034][USDM 2004 Impreza WRX][Reflash: EXPERIMENTAL-TP-cobb2.ptm - Realtime: EXPERIMENTAL-TP-cobb2.ptm]
0.000,14.59,-7.19,0.48,0.00,0.00,1,41.50,27.15,41.88,3352,0.00,4.02,-5.12,13,34.12,34.08,0
0.004,14.70,-7.19,0.48,0.00,0.00,1,41.50,27.46,41.88,3398,0.00,4.25,-4.95,13,34.12,34.29,0
0.014,14.59,-7.19,0.49,0.00,0.00,1,41.50,27.77,41.88,3407,0.00,4.44,-4.87,13,34.12,34.46,0
0.016,14.59,-7.14,0.49,0.00,0.00,1,41.50,28.18,42.23,3436,0.00,5.00,-4.68,13,34.51,34.73,0
0.019,14.59,-7.08,0.50,0.00,0.00,1,41.50,29.82,42.23,3503,0.00,5.00,-4.56,14,34.51,34.86,0
0.020,14.59,-6.96,0.51,0.00,0.00,1,41.50,28.43,41.88,3539,0.00,5.00,-4.08,15,34.90,34.89,0
0.022,14.70,-6.71,0.53,0.00,0.00,1,41.00,32.81,41.52,3551,0.00,5.00,-3.36,15,34.90,35.14,0
0.024,14.70,-6.38,0.56,0.00,0.00,1,40.50,34.94,41.17,3592,0.00,5.00,-3.02,16,35.29,35.38,0
0.106,14.36,-6.05,0.59,0.00,0.00,1,40.00,36.90,40.47,3618,0.00,5.00,-2.51,16,35.29,35.43,0
0.172,14.01,-5.70,0.62,0.00,0.00,1,39.50,38.51,40.12,3646,0.00,5.00,-2.05,18,35.29,35.43,0
0.240,14.24,-5.10,0.66,0.00,0.00,1,38.00,42.56,39.41,3689,0.00,5.00,0.25,19,35.29,35.43,0
0.326,14.59,-4.51,0.72,0.00,0.00,1,37.50,46.39,39.41,3784,0.00,5.00,1.30,21,35.29,35.43,0
0.394,14.70,-3.94,0.77,0.00,0.00,1,37.00,49.70,39.41,3836,0.00,5.00,1.70,22,35.29,35.43,0
0.463,14.70,-3.48,0.81,0.00,0.00,1,37.50,51.67,39.06,3914,0.00,5.00,2.30,22,35.29,35.43,0
0.541,14.24,-3.11,0.86,0.00,0.00,1,37.00,59.00,38.71,3964,0.00,5.00,2.48,23,35.29,35.43,0
0.613,13.78,-2.80,0.89,0.00,0.00,1,37.00,62.21,37.66,4034,0.00,5.00,2.78,23,35.29,35.43,0
0.678,14.24,-2.53,0.92,0.00,0.00,1,36.50,64.68,36.95,4136,0.00,5.00,2.88,23,35.29,35.43,0
0.765,14.47,-2.26,0.95,0.00,-1.05,1,35.50,67.35,36.25,4183,0.00,5.00,2.88,23,35.29,35.43,0
0.829,14.59,-2.11,0.97,0.00,-1.05,1,35.00,69.15,35.55,4276,0.00,5.00,2.98,23,35.29,35.43,0
0.906,14.47,-1.99,0.98,0.00,-1.05,1,34.50,71.06,35.20,4345,0.00,5.00,3.07,24,35.29,35.43,0
0.983,14.47,-1.84,0.99,0.00,-1.05,1,35.00,73.02,34.49,4383,0.00,5.00,3.07,24,35.29,34.77,0
1.052,14.24,-1.82,1.00,0.00,-1.05,1,34.00,74.66,34.84,4499,0.00,5.00,3.17,24,34.90,33.60,0
1.121,13.67,-1.72,0.99,0.00,-1.05,1,34.50,75.66,34.49,4584,0.00,5.00,3.17,24,33.73,32.16,0
1.190,13.32,-1.70,1.00,0.00,-1.05,1,34.00,77.74,34.49,4627,0.00,5.00,3.17,24,32.16,31.63,0
